"scenario","imputed_value_for_9plus","interval_rows","effect_ratio","ci_low","ci_high","p_value","deviance_explained"
"Lower-bound coding",9,336,1.24518873105935,1.04061254092738,1.48998298115398,0.01722070473948,0.200237910538538
"Impute 9+ as 12",12,336,1.25151604195875,1.04402205108892,1.50024839192472,0.0158405458857457,0.20084883826895
"Impute 9+ as 15",15,336,1.25780256458993,1.04727849915833,1.51064620610512,0.0146609284017414,0.201502711220582
