"mechanism","tweedie_power","dispersion","observed_zero_intervals","expected_zero_intervals","observed_zero_fraction","expected_zero_fraction","maximum_absolute_gradient","model_rank","coefficient_count"
"Patch attendance",1.41653857607863,34.2930069392122,194,187.628508697818,0.366729678638941,0.354685271640487,3.95857825097323e-06,32,32
"Conditional foraging intensity",1.37099946029317,9.90854826968646,22,27.7376148361318,0.0656716417910448,0.0827988502571099,0.000941412055595947,32,32
