"metric","value"
"Requested replicates",2000
"Successful fits",2000
"Converged fits",2000
"Median mean ratio",1.23223964375474
"2.5th percentile",0.993713199393752
"97.5th percentile",1.52039521760458
"Proportion of ratios above 1",0.973
