"term","edf","Ref.df","F","p-value"
"s(post_collection_hours):post_collection",1.20291395971775,1.37507450807338,5.38556410952892,0.0324431376193776
"s(observation_id)",15.3081615551898,23,2.05403342395709,3.25186238181452e-06
