"analysis","term","bin_minutes","interval_rows","observation_days","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value","aic","deviance_explained","residual_lag1","convergence","max_gradient","positive_hessian","notes","window"
"Window: Post 0-1 h","post_0_1",30,541,25,0.485850170738276,0.25425067970118,1.62555642204592,0.987605448594598,2.67559649960926,0.0565703579199071,4561.00272876331,0.340284332861607,0.0422685070880819,"full convergence",4.50523886819099e-06,TRUE,"Ratio versus collection-day pre period, adjusted for clock time","Post 0-1 h"
"Window: Post 1-3 h","post_1_3",30,541,25,0.432901932493259,0.247250780377193,1.54172502015802,0.949613050908942,2.50303640572981,0.0805643599649949,4561.00272876331,0.340284332861607,0.0422685070880819,"full convergence",4.50523886819099e-06,TRUE,"Ratio versus collection-day pre period, adjusted for clock time","Post 1-3 h"
"Window: Post 3-6 h","post_3_6",30,541,25,0.154446628230099,0.273607440892771,1.16701199089987,0.682621939585949,1.99512630333881,0.572671224588645,4561.00272876331,0.340284332861607,0.0422685070880819,"full convergence",4.50523886819099e-06,TRUE,"Ratio versus collection-day pre period, adjusted for clock time","Post 3-6 h"
"Window: Post >6 h","post_gt6",30,541,25,-1.4694608978918,0.720387322496523,0.230049471918269,0.0560565596103839,0.94409574718301,0.041877298907721,4561.00272876331,0.340284332861607,0.0422685070880819,"full convergence",4.50523886819099e-06,TRUE,"Ratio versus collection-day pre period, adjusted for clock time","Post >6 h"
