"attendance_log","intensity_log","product_log","converged","replicate","attendance_ratio","intensity_ratio","product_ratio"
0.0478222530130939,0.217308405561986,0.265130658575079,1,1,1.0489841849745,1.24272730705699,1.30360129133873
-0.149322824870245,0.0309823693717789,-0.118340455498466,1,2,0.861291023851002,1.0314673183094,0.888393542655551
0.410951417725049,-0.0658407728184763,0.345110644906573,1,3,1.50825208046084,0.936279933638308,1.41214615780372
0.323351248946954,0.00936820309919744,0.332719452046152,1,4,1.38175060412295,1.00941222206601,1.3947559476488
-0.397170806176535,0.0278560451097213,-0.369314761066814,1,5,0.672219196635415,1.02824765248873,0.691207810898223
0.719751994520297,-0.0252195436369227,0.694532450883375,1,6,2.05392376312546,0.97509581244608,2.00277246050713
0.449033473224384,-0.0225977820034396,0.426435691220945,1,7,1.56679710207266,0.977655635392642,1.5317880163582
-0.251728446668464,0.297449265944607,0.0457208192761431,1,8,0.777455830127066,1.34642006426982,1.04678212876663
0.138686023409226,-0.0907920192299678,0.0478940041792584,1,9,1.14876335857146,0.913207620773948,1.04905945351333
0.0720095585488036,0.233093408058782,0.305102966607585,1,10,1.07466561625846,1.26249940143804,1.35676469727235
0.485860891842816,-0.0874217615071437,0.398439130335673,1,11,1.62557384989968,0.916290558038803,1.48949797005787
0.095748476243261,-0.0443670811046859,0.0513813951385751,1,12,1.10048223175534,0.956602742223389,1.05272432066527
-0.613127394282258,-0.0341160590857322,-0.647243453367991,1,13,0.541654251052874,0.966459331741851,0.523486805507693
0.599787250205617,-0.119738535077697,0.48004871512792,1,14,1.82173118622426,0.887152365619548,1.61615313138176
0.131542127452216,0.151933612073797,0.283475739526013,1,15,1.14058595669066,1.16408295281363,1.32773666840222
0.00770163712617884,0.356057420008617,0.363759057134795,1,16,1.00773137101759,1.42768952385506,1.43872752126191
0.206417448135563,-0.112784117791779,0.0936333303437841,1,17,1.22926625180736,0.893343496266994,1.09815701123261
0.424144306503212,0.0395781687277638,0.463722475230976,1,18,1.52828211892057,1.04037182024811,1.58998164991404
0.287679569044382,0.0779189708568631,0.365598539901245,1,19,1.33332999546098,1.0810350597765,1.44137647134497
0.0953632510544288,0.322209082764283,0.417572333818712,1,20,1.10005837992425,1.38017331624395,1.51827122228199
-0.00639836451265951,0.105996378410948,0.0995980138982882,1,21,0.993622061434123,1.11181784995189,1.10472674400845
0.425281387797153,0.126419382791505,0.551700770588658,1,22,1.53002088830358,1.13475796646893,1.73620339186636
0.536863082755089,-0.134558198894169,0.40230488386092,1,23,1.7106323248132,0.874102005626085,1.49526714600803
0.309616039547588,0.135399385855136,0.445015425402724,1,24,1.36290171329757,1.14499398744781,1.56051426720804
0.234805922630947,-0.131553276897949,0.103252645732998,1,25,1.26466330238747,0.876732564302146,1.10877150008098
0.474306901162311,-0.0161594326229332,0.458147468539378,1,26,1.60690007085905,0.983970430562333,1.58114215459383
0.143171077384473,-0.195841762420847,-0.052670685036374,1,27,1.15392719562721,0.822142318196015,0.94869237964238
0.289785810744132,0.242204671337675,0.531990482081806,1,28,1.33614127026977,1.27405492865923,1.7023173707722
-0.273474790433574,0.158183226862708,-0.115291563570866,1,29,0.760731513825766,1.17138080347568,0.891106291894496
0.724188424283226,0.0832185534521734,0.807406977735399,1,30,2.06305609413305,1.08677930196298,2.2420866618924
0.382328122714146,-0.0601297171119034,0.322198405602243,1,31,1.46569293338344,0.941642378531831,1.38015857998847
0.152885620632701,0.0102336505253145,0.163119271158016,1,32,1.16519169743142,1.01028619340907,1.17717708458984
0.0559322367846031,0.226490102933472,0.282422339718075,1,33,1.05752601994508,1.25419019696866,1.3263387672544
-0.00596447353105055,-0.0127029964672759,-0.0186674699983264,1,34,0.994053278629568,0.987377346035683,0.981505688071332
0.473753076425975,0.0295564943079306,0.503309570733905,1,35,1.60601037624118,1.02999762283112,1.65418686977053
