"omitted_observation_id","omitted_collection_day","attendance_ratio","intensity_ratio","product_ratio"
"M(1)",0,1.32280826957957,0.997611739443223,1.31964905876515
"M(2)",1,1.35175897846713,1.00302642706844,1.35584997842956
"M(3)",0,1.30589846839571,1.0368707112117,1.35404787369572
"M(4)",0,1.45521126890772,1.05452448902954,1.53455591977494
"M(5)",1,1.20269462787697,1.0204189871172,1.22725243398952
"M(7)",0,1.35709449923585,1.01204545971918,1.37344132636152
"M(8)",1,1.35052725717201,1.08346110149036,1.46324374964834
"M(9)",0,1.34408391055259,1.00480929901307,1.35054801197709
"N1",1,1.34606814692916,1.04404632371313,1.40535750026873
"N2",1,1.32438508594225,1.03755777980521,1.37412604937737
"N3",1,1.33839906516684,0.998786786667771,1.33677530157714
"N4",1,1.28064480692533,1.08384436937908,1.38801966316058
"N5",0,1.41208955710617,1.02361273719614,1.44543285671553
"N6",0,1.40882202839215,1.03700923296283,1.46096145104409
"N8",1,1.2873365629345,1.03388568810418,1.3309588481912
"N9",1,1.41266116922626,1.0107119192017,1.42779348153039
"V1",0,1.36684197035199,0.995145557400973,1.36020671446498
"V2",1,1.3830262615115,0.943701076674679,1.30516337205776
"V3",0,1.35260641773956,1.02137206261315,1.38151440679044
"V4",0,1.48260731601393,1.01951201185897,1.51153596754619
"V5",1,1.45431358274002,1.038546204604,1.51037185165869
"V6",0,1.35411935636308,1.03769252417811,1.40515953294284
"V7",1,1.42991652021164,1.01169483531836,1.44663915843451
"V8",0,1.06910897899088,1.01655763408091,1.08681089425763
"V9",0,1.28291755882622,1.04257393265488,1.33753640457745
