"metric","value"
"Tweedie power parameter",1.38086083699944
"Dispersion parameter",28.6554368752613
"Observed zero intervals",216
"Expected zero intervals",214.330454305651
"Observed zero fraction",0.408317580340265
"Expected zero fraction",0.405161539330152
"Maximum absolute gradient",3.50411434091313e-06
"Model rank",32
"Coefficient count",32
