"omitted_observation_id","omitted_collection_day","estimate_log","standard_error","rate_ratio","ci_low","ci_high","p_value"
"M(1)",0,0.215782413693355,0.229519276382356,1.24083236149498,0.791308715895625,1.94571968993235,0.347611891680726
"M(2)",1,0.248868889435717,0.228484187454017,1.2825738630627,0.819589323637291,2.00709753869313,0.276602770960586
"M(3)",0,0.253244278134321,0.226966380231962,1.28819791698701,0.825635692642676,2.00991053090029,0.265070276189253
"M(4)",0,0.374115644236034,0.226108072879633,1.45370525337004,0.933281848600863,2.26433093801596,0.098657602664251
"M(5)",1,0.144749373041842,0.231639194762652,1.15574987189164,0.733993499920618,1.81984958521024,0.532334454554334
"M(7)",0,0.258566802451221,0.22701370032776,1.29507266099152,0.829964895065007,2.02082426283379,0.255263089466236
"M(8)",1,0.327320438058717,0.233564109783216,1.38724593235985,0.877694403966348,2.19262110838608,0.161724242986987
"M(9)",0,0.244705452115864,0.225307139601001,1.27724504796714,0.821282261158033,1.98635108745235,0.277974774143044
"N1",1,0.282321606765767,0.229482486291371,1.32620516796365,0.84581400021675,2.07944080741484,0.219201503583728
"N2",1,0.264501152660404,0.233007555268292,1.30278092485532,0.825153983174837,2.05687444134566,0.256861613499128
"N3",1,0.239617199579535,0.228553913046634,1.27076260874225,0.811930739599936,1.98888590986601,0.294960174673855
"N4",1,0.233326324949265,0.236893760880057,1.26279349312099,0.79375779008912,2.0089848895715,0.325148483829276
"N5",0,0.309959550156323,0.226756579416919,1.36336996491484,0.874174576705714,2.12632317475602,0.172280960788663
"N6",0,0.330583553769731,0.228567828664912,1.39178007004146,0.889228400126891,2.17835121222873,0.148734628816013
"N8",1,0.231093039879487,0.233365503342188,1.25997646205414,0.797482855862535,1.9906894214214,0.322541850693657
"N9",1,0.282864248075874,0.247342283671074,1.3269250169657,0.817162161464083,2.15468860855572,0.253349898969994
"V1",0,0.246928786527415,0.225405268949876,1.28008795002416,0.822951984095467,1.99115524534294,0.273842220107868
"V2",1,0.194456990240522,0.237573197908301,1.21465123990389,0.762480822717135,1.93497015353447,0.413460844175291
"V3",0,0.264254987646094,0.224953395936108,1.30246026523952,0.838076774298417,2.02416150232527,0.240669312051011
"V4",0,0.342721412761361,0.228005141989661,1.4087762401706,0.901080703972655,2.20252246676614,0.133460584979164
"V5",1,0.369278396173323,0.226653754721649,1.44669030066118,0.927785421242998,2.25581559928281,0.103910696788305
"V6",0,0.301236583961517,0.224827163329846,1.35152905381478,0.869865602709226,2.09990000480118,0.180922895943189
"V7",1,0.308832040407642,0.237168995774232,1.36183361827401,0.855550079091128,2.16771741267496,0.193484751072862
"V8",0,0.00342839691820807,0.227367814070996,1.00343428059286,0.642618315900586,1.56684042542085,0.987975666226196
"V9",0,0.240956053361918,0.222897404944913,1.27246511351563,0.822082246322748,1.96959303324825,0.280222971760511
