"analysis","response","ratio_type","interval_rows","observation_days","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value","deviance_explained","convergence","notes"
"Competitor-time adjusted displacement","Displacement events with known group state","Rate ratio",263,25,-0.412757815368669,0.560135164517123,0.661822546669817,0.220776905590242,1.98394429938002,0.461189447723789,0.188980261595828,"full convergence","Offset is the time-integral of recorded focal competitors; 136 of 139 events retained"
"Competitor-time adjusted displacement excluding 9+ intervals","Displacement events with known group state","Rate ratio",252,25,-0.00728631185326543,0.571959526279992,0.992740168962087,0.323580814266896,3.0457091385461,0.989835856869322,0.166259561245777,"full convergence","Sensitivity excluding intervals containing the open-ended More subjects code"
"Competitor-time adjusted displacement: event-state strict","Events whose exact timestamp had recorded group size >1","Rate ratio",263,25,0.0424795356941772,0.686176645474326,1.04339470380688,0.271877963636129,4.00426902339643,0.950636430972067,0.21912163670666,"full convergence","Strict timestamp sensitivity retains 115 events; coding order can label an interaction instant as group size 1"
