"contrast","clock_spline_df","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value"
"Postcollection vs precollection on collection days",4,0.262094896661973,0.224997410943515,1.29964986901195,0.83619626608902,2.01996809902397,0.24406772746431
"Precollection on collection days vs noncollection days",4,-0.205276239616685,0.257566941975924,0.81442230962832,0.491595935366067,1.34924569286036,0.425461433290708
"Postcollection on collection days vs noncollection days",4,0.0568186570452873,0.204923498728488,1.05846384802886,0.708344997018324,1.58163849861295,0.781574597219685
