"estimate_log","converged","replicate","effect_ratio"
0.509448415634505,1,1,1.66437289964071
0.16343225469211,1,2,1.17754557929741
0.251781644239296,1,3,1.28631513229813
0.25870949220927,1,4,1.29525746778088
0.2736892571904,1,5,1.31480617218856
0.122715397753588,1,6,1.13056261449645
0.169900961008076,1,7,1.18518746573574
0.266056146769166,1,8,1.30480831740169
0.272854473147909,1,9,1.31370905097041
0.171184672817641,1,10,1.18670988184475
0.20834370802044,1,11,1.23163642012326
0.220840063452925,1,12,1.24712395391372
0.19009650763046,1,13,1.20936630510205
0.237264005546869,1,14,1.26777577343424
0.344673936070559,1,15,1.41152959573771
0.158180495395134,1,16,1.17137760389137
-0.0396257504729771,1,17,0.961149081439275
0.144196964257007,1,18,1.15511160181857
-0.213581654972012,1,19,0.807686205863317
0.481489610016824,1,20,1.6184835166854
-0.0749191749742927,1,21,0.927818474250095
0.0807014050436591,1,22,1.08404715722212
0.158299983182973,1,23,1.17151757757239
0.321755845263037,1,24,1.37954791167791
0.232716145465172,1,25,1.26202319747204
0.343213275828181,1,26,1.40946933561261
0.106942529662878,1,27,1.11287029561041
0.139105218295689,1,28,1.14924501524408
0.219097087216619,1,29,1.24495213975838
0.264675373859471,1,30,1.30300791668299
0.212348040153676,1,31,1.23657818905558
0.408252764931468,1,32,1.5041873189274
0.422758553093544,1,33,1.5261657634754
0.0897265621523176,1,34,1.09387513594511
0.388601130805191,1,35,1.47491613537903
0.241903313835524,1,36,1.27367104049502
0.140899103395001,1,37,1.15130847900748
-0.0253407309004957,1,38,0.974977650412859
0.301145988761882,1,39,1.3514066173165
0.210561947701966,1,40,1.23437151733264
0.234527094733857,1,41,1.26431072813439
0.332962287839292,1,42,1.39509468544275
0.376727223607269,1,43,1.45750668172695
0.346330372320044,1,44,1.41386964206105
0.328889091843128,1,45,1.38942374861484
0.105711506372505,1,46,1.11150116924347
0.140343189205094,1,47,1.1506686281546
0.456352623424213,1,48,1.57830679459846
0.0424564314487426,1,49,1.04337059723804
0.0959121592125562,1,50,1.10066237669762
0.166843135917726,1,51,1.18156890504862
0.189463239743426,1,52,1.20860069470119
0.08020986171846,1,53,1.08351443201727
0.171108697780168,1,54,1.18661972494189
0.293903488431686,1,55,1.3416544122469
0.272727922652793,1,56,1.31354281095867
0.0730574772229355,1,57,1.07579236869553
0.393462147193011,1,58,1.48210318090463
0.10175363282159,1,59,1.10711068239114
0.133871657576545,1,60,1.14324608325567
0.29889424532821,1,61,1.34836701982091
0.0568366846184621,1,62,1.05848292973533
0.160850922983259,1,63,1.17450986333554
0.231710147159947,1,64,1.26075424266444
0.585813681435715,1,65,1.79645213085494
0.221523974536132,1,66,1.24797716753581
0.248864082870621,1,67,1.28256769830275
0.20909687494332,1,68,1.23256439735292
0.196541673123479,1,69,1.21718604376559
0.120338684402243,1,70,1.12787878184985
0.169974268260274,1,71,1.18527435175684
0.131124130355977,1,72,1.14010929470136
0.208829031777502,1,73,1.23223430761077
0.374562017876299,1,74,1.45435429392238
0.0498763242270328,1,75,1.05114108765021
0.278308746230278,1,76,1.32089395528826
0.479656845580751,1,77,1.61551993425945
0.272702105927163,1,78,1.31350890002205
0.234178513691989,1,79,1.26387009018701
0.265454487728447,1,80,1.3040235037999
0.212984444135011,1,81,1.23736540280474
0.114064389784321,1,82,1.12082429219515
0.0657394697654419,1,83,1.06794844805914
0.126211719293659,1,84,1.13452234312643
0.267648070713732,1,85,1.30688712721978
0.316438186985543,1,86,1.37223141785415
0.132076533068272,1,87,1.14119565513014
0.175095333368717,1,88,1.19135978754062
0.259441835299696,1,89,1.29620638806293
0.230566954899868,1,90,1.25931378169116
0.108016428640535,1,91,1.11406604782676
0.14720845493298,1,92,1.15859545279658
0.337415888170871,1,93,1.40132173570041
0.147316463935842,1,94,1.15872059829445
0.0804071685280471,1,95,1.08372823788497
-0.00628964597714929,1,96,0.993730092441873
0.245135500104714,1,97,1.27779444275588
0.133997835035219,1,98,1.14339034424214
0.256845015141672,1,99,1.29284473987244
0.230829391295408,1,100,1.25964431483095
0.162139479149422,1,101,1.17602426074568
0.193116756182567,1,102,1.21302441335133
0.120211860562407,1,103,1.12773574900204
0.259395870593408,1,104,1.29614680968627
0.00494437639572203,1,105,1.00495661999536
0.122046754511555,1,106,1.12980692411636
0.304874617054232,1,107,1.35645491603027
0.262274036107034,1,108,1.299882708423
0.168373214286116,1,109,1.1833781818857
0.216044584994778,1,110,1.24115771477732
0.121283383009027,1,111,1.12894479081299
0.174548096571382,1,112,1.19070800998061
0.300651972356218,1,113,1.35073916515656
0.267251231263951,1,114,1.30636860574298
0.214853072781375,1,115,1.23967974088823
0.509727266012825,1,116,1.66483707536822
0.142667887629557,1,117,1.15334669734709
0.284239626709414,1,118,1.32875129690766
0.268335484090359,1,119,1.3077858077599
0.105658519390571,1,120,1.11144227571141
0.273651229958151,1,121,1.31475617469953
0.209926591283918,1,122,1.23358750055827
0.20279440903786,1,123,1.22482063030875
0.224611034254301,1,124,1.2518357002751
0.0201025272755969,1,125,1.02030594385299
0.220294577666376,1,126,1.24644385103289
0.0733735749699015,1,127,1.07613247799054
0.2608607967893,1,128,1.29804696055208
0.271889190217062,1,129,1.31244156188861
0.293972781028974,1,130,1.34174738218682
0.230037095909412,1,131,1.25864669970743
0.254673606973916,1,132,1.29004049192992
0.0125618557568153,1,133,1.01264108728426
0.364150497899267,1,134,1.43929080810222
0.239281257545969,1,135,1.27033577786652
0.238658998364514,1,136,1.26954554565533
0.107249273954655,1,137,1.11321171458256
0.0430829225299021,1,138,1.04402446441115
0.337070179578266,1,139,1.40083737046481
0.0583231894052717,1,140,1.06005753971982
0.109342215812832,1,141,1.11554404183832
0.246609733294185,1,142,1.27967959897122
0.0533896584482115,1,143,1.054840592598
0.376786820398836,1,144,1.45759354703729
0.208371524094201,1,145,1.23167067988925
0.203255625349261,1,146,1.22538566785424
-0.0739803560394808,1,147,0.928689936810558
0.240008917640293,1,148,1.2712604869146
0.102091396182816,1,149,1.10748468697544
-0.00698081518805752,1,150,0.993043494103173
0.136896423115169,1,151,1.14670936978481
0.274205761317089,1,152,1.3154854504122
0.252799437619337,1,153,1.28762500179961
0.226410620614732,1,154,1.25409051498519
0.342162243275137,1,155,1.40798871568453
0.224400844869812,1,156,1.25157260535063
0.354824912129983,1,157,1.42593096920751
0.325323249854326,1,158,1.38447810600224
0.161228536183232,1,159,1.17495345751167
0.434249404948695,1,160,1.54380385242661
0.267380113058024,1,161,1.30653698372281
0.219176727486685,1,162,1.24505129203121
0.287844759150352,1,163,1.33355026657703
0.0199517085013864,1,164,1.02015207416473
0.350399195521223,1,165,1.41963414708723
0.0624892394436551,1,166,1.06448300442688
0.425709749785918,1,167,1.53067643148902
0.201902585922347,1,168,1.22372879389313
0.244004102812484,1,169,1.27634956710165
0.185251457302807,1,170,1.20352103623474
0.104611354890936,1,171,1.11027902198219
0.154608357828899,1,172,1.16720074654423
0.113065786727276,1,173,1.11970559229209
0.333614316997596,1,174,1.39600462447741
0.141231970668754,1,175,1.15169177571206
0.208251537977859,1,176,1.23152290537338
0.0976231408124534,1,177,1.10254720176254
0.173699975253448,1,178,1.18969857325682
0.101042576523143,1,179,1.10632374417919
0.178757856506408,1,180,1.19573117058708
0.234440497131752,1,181,1.2642012465975
0.292700483655338,1,182,1.34004136602645
0.382468458891007,1,183,1.46589863755969
0.259666289729793,1,184,1.2964973599828
0.196498629731446,1,185,1.21713365307708
0.00360762941876358,1,186,1.00361414474638
0.337126807125667,1,187,1.40091669869547
0.0715490398191476,1,188,1.07417082655276
0.163479182325628,1,189,1.17760084002142
-0.0255978679601537,1,190,0.974726979756339
0.244603023557977,1,191,1.27711422829876
0.248590629074243,1,192,1.28221702324544
0.000620424352183571,1,193,1.00062061685518
0.291083983989065,1,194,1.33787693947419
0.208921728117398,1,195,1.2323485365152
0.227092074378929,1,196,1.25494541094023
0.0569755860843146,1,197,1.0586299647773
0.232230008125804,1,198,1.2614098299751
-0.0518939029036189,1,199,0.949429593222466
0.229834936211095,1,200,1.25839227778812
0.0751234714884796,1,201,1.07801724706177
0.195984413559006,1,202,1.21650794415726
0.325140638805147,1,203,1.38422530808529
0.259283682166994,1,204,1.2960014051718
0.213845090002521,1,205,1.23843079462203
0.304546471711878,1,206,1.35600987469058
0.0998845948411141,1,207,1.10504338300949
0.201726018335744,1,208,1.22351274212776
0.240932016889752,1,209,1.27243452831093
0.0979643972061037,1,210,1.10292351725082
0.313552574723075,1,211,1.36827739767608
0.176517081609435,1,212,1.19305480588177
0.303947203464028,1,213,1.35519750446706
0.174753442457298,1,214,1.19095254207776
0.418412361621495,1,215,1.51954714815245
0.116724602363661,1,216,1.1238098924815
0.281542229711632,1,217,1.32517195676951
0.270148851786427,1,218,1.31015945579496
0.178712803999315,1,219,1.19567730111352
0.0810053368681587,1,220,1.08437668372671
0.325091232292898,1,221,1.38415692003007
0.212498336741299,1,222,1.236764056505
0.351233977241428,1,223,1.42081972650377
0.187498157206916,1,224,1.20622802659027
0.40676753909829,1,225,1.50195491928257
0.239701419791493,1,226,1.27086963714542
0.195494068405266,1,227,1.21591158160605
0.370282129758954,1,228,1.44814312130442
0.328899860645978,1,229,1.38943871112582
0.163098166968501,1,230,1.1771522414837
0.272291530031755,1,231,1.31296971562493
0.323056989299649,1,232,1.38134407049367
0.112380959305186,1,233,1.11893904970247
0.253382758010697,1,234,1.28837631882755
0.0153439139102045,1,235,1.0154622361581
0.131208414872621,1,236,1.1402053923119
0.0428189142549705,1,237,1.04374886969456
0.289913065127,1,238,1.33631131092152
0.352178375882086,1,239,1.4221621805282
0.250149695527752,1,240,1.28421764393756
0.418632273299244,1,241,1.51988135106143
0.198356472675734,1,242,1.21939699806545
0.220611964467124,1,243,1.2468395186456
0.196798643769315,1,244,1.21749886504058
-0.0261670298937419,1,245,0.974172360112986
0.188137612925761,1,246,1.20699960266818
0.206044511944298,1,247,1.22880789940678
0.265409313271705,1,248,1.30396459657709
0.227124208052459,1,249,1.25498573759428
-0.024614254835955,1,250,0.975686205682405
0.13727445409309,1,251,1.14714294339623
0.219951488828473,1,252,1.24601628341156
0.373632316702424,1,253,1.45300280736476
0.297890996612733,1,254,1.3470149506845
0.283158959781678,1,255,1.32731613493162
0.103515754652426,1,256,1.10906326613371
0.354905773302562,1,257,1.42604627631957
0.0436397999238506,1,258,1.04460601994664
0.112196170384609,1,259,1.11873230126628
0.30360509941385,1,260,1.35473396520584
0.112775204539917,1,261,1.11938027306015
0.233786972069304,1,262,1.26337532930709
0.213101068754144,1,263,1.23750971848879
0.19117979857453,1,264,1.21067711053206
0.208754107462834,1,265,1.23214198675834
0.00604622035369706,1,266,1.00606453563812
0.328888109299553,1,267,1.38942238344613
0.340006859020054,1,268,1.40495722716034
0.223974424907025,1,269,1.25103902357987
0.265850637769829,1,270,1.30454019510177
0.451603533547188,1,271,1.57082904408636
0.371999141050541,1,272,1.45063173527328
0.238482223186879,1,273,1.26932114135112
0.228774100061221,1,274,1.25705803759936
0.215749551513493,1,275,1.24079158570873
0.262002328908528,1,276,1.29952956891135
0.0974992149453101,1,277,1.10241057611039
0.328956970486087,1,278,1.38951806401435
0.306555531788232,1,279,1.35873691847309
0.0945575898461061,1,280,1.09917246248323
0.162615361331309,1,281,1.17658404292145
0.288164317498367,1,282,1.3339764817939
-0.120091065888896,1,283,0.88683967219671
0.24466859347221,1,284,1.27719797131465
0.185555089593846,1,285,1.20388651956775
0.0563703546440625,1,286,1.05798944249069
0.280986261187024,1,287,1.3244354076399
0.0986086631753231,1,288,1.1036343222888
-0.0218925723912438,1,289,0.978345330705437
0.191627578175161,1,290,1.21121934843759
0.251539936464906,1,291,1.28600425750228
0.12940838302844,1,292,1.13815483238708
0.0579129984607889,1,293,1.05962280288505
0.20774396194964,1,294,1.2308979724823
0.138543750922877,1,295,1.14859993277798
0.111447212916388,1,296,1.11789473204532
0.063740177779565,1,297,1.06581544024882
0.269043445892664,1,298,1.30871199797235
0.142542961884979,1,299,1.15320262365161
0.142249355898599,1,300,1.15286408615855
0.284675782354898,1,301,1.32933096569097
0.263111872700852,1,302,1.30097225409067
0.22928904530953,1,303,1.25770552035745
0.0883102732994337,1,304,1.09232698935378
0.0826287817292989,1,305,1.08613853923212
0.0608791752598511,1,306,1.0627704974602
0.21741288385111,1,307,1.24285715186274
0.197662330915546,1,308,1.21855085739161
0.0767704387152619,1,309,1.07979416900203
0.268665661349403,1,310,1.30821768018662
0.332930699674796,1,311,1.39505061765836
0.160660895183516,1,312,1.17428669501519
0.132124076216025,1,313,1.14124991245356
0.137698213709386,1,314,1.1476291592618
0.276117932480249,1,315,1.31800329025922
0.127560575469434,1,316,1.13605368314205
0.264069686955812,1,317,1.30221894081279
0.102533733486203,1,318,1.10797467712789
0.0189124546893367,1,319,1.01909242794884
0.264087046582293,1,320,1.30224154704342
0.145125990672551,1,321,1.15618522964664
0.399643714345662,1,322,1.49129327657719
0.135249228683916,1,323,1.14482207129714
0.208904145004943,1,324,1.23232686818279
0.129327050960553,1,325,1.13806226766528
0.330582717902927,1,326,1.39177890669919
0.174015776227211,1,327,1.19007434055546
0.230401856594255,1,328,1.25910588828147
0.209943094803331,1,329,1.23360785926153
0.353744483348128,1,330,1.42439118431119
0.284139408697665,1,331,1.32861813876711
0.12893440482684,1,332,1.13761549963257
0.219929493094962,1,333,1.24598887667086
0.237337275524254,1,334,1.26786866673959
0.248548869439015,1,335,1.28216347944826
0.0200615650789548,1,336,1.02026415073626
0.148089373602126,1,337,1.15961653083826
0.245621759410852,1,338,1.27841593328553
0.176636099061317,1,339,1.19319680867496
0.206084325200135,1,340,1.22885682322395
0.0396443712102646,1,341,1.04044069772524
-0.0301800312788254,1,342,0.970270838723811
0.390429003449119,1,343,1.47761455967164
0.141098617337794,1,344,1.1515382040174
0.240304496383965,1,345,1.27163630003065
0.141026917155995,1,346,1.15145564147874
0.0819525425193098,1,347,1.08540429805373
0.0800352913713575,1,348,1.08332529903577
0.265902082871616,1,349,1.30460730903122
0.227667477786167,1,350,1.25566771859479
0.145001535545324,1,351,1.15604134542054
0.146624886445764,1,352,1.15791953024363
0.118324481142696,1,353,1.12560929110618
0.146669986161107,1,354,1.15797175326244
0.106297417080095,1,355,1.11215260050167
0.303986599237431,1,356,1.35525089457252
0.309314004292516,1,357,1.36249013109025
0.0740989165859747,1,358,1.07691332481735
0.425651490755583,1,359,1.53058725836196
0.205323719278168,1,360,1.22792250281682
0.196565057668118,1,361,1.21721450743977
0.352028296162417,1,362,1.42194875884235
0.121587378677563,1,363,1.12928803730949
0.17859257468601,1,364,1.19553355429414
0.446034667226642,1,365,1.56210561946462
0.218861558508451,1,366,1.24465895231756
0.174808745433336,1,367,1.19101840711891
0.118908481376594,1,368,1.12626683918089
0.176174655765255,1,369,1.19264634302083
0.334586854024848,1,370,1.39736295106932
0.204991771974638,1,371,1.22751496489736
0.0529512247100473,1,372,1.05437821626192
0.213045850976386,1,373,1.23744138783873
0.0915557179735544,1,374,1.09587783508373
0.420400403367245,1,375,1.52257107616922
0.355911276993113,1,376,1.42748089224824
0.143299377705825,1,377,1.15407525435501
0.359839369554778,1,378,1.43309919670882
0.336536373839659,1,379,1.40008979498539
0.252814994862177,1,380,1.28764503385027
0.146078886532792,1,381,1.15728747884659
0.231133168842475,1,382,1.26002702461746
0.248043007047276,1,383,1.28151504518702
0.322095557337689,1,384,1.38001664037296
0.100735062703814,1,385,1.10598358664345
-0.013106719888278,1,386,0.986978799132494
0.13374966369504,1,387,1.14310662273529
0.217934353691939,1,388,1.24350543339884
0.278386416258453,1,389,1.32099655314332
0.0394666182025022,1,390,1.0402557726978
0.422665151217609,1,391,1.52602322338697
0.0813619805128035,1,392,1.08476348875104
0.178651656804316,1,393,1.19560419103569
0.189407078110408,1,394,1.20853281961851
0.249101468946843,1,395,1.28287219815672
0.357437995788054,1,396,1.42966191863921
0.225849118076409,1,397,1.25338653763877
0.310232179052096,1,398,1.36374170963478
0.193953831583058,1,399,1.21404023134675
0.20074364628599,1,400,1.22231138759255
0.337904447541457,1,401,1.40200653183376
0.0795479893535214,1,402,1.08279752103566
0.323123298445571,1,403,1.3814356692761
0.305995085690153,1,404,1.35797563301847
0.139645682493125,1,405,1.14986630890727
0.151849945958103,1,406,1.16398556258881
0.138016306361136,1,407,1.1479942697307
0.0954641630455048,1,408,1.10016939460693
0.197591622548106,1,409,1.21846469869595
0.167635495281914,1,410,1.18250550324715
0.261303443677987,1,411,1.29862166418655
0.199330511832744,1,412,1.22058531713021
0.443521473949946,1,413,1.5581846752334
0.231715491800561,1,414,1.26076098096078
0.372149254817261,1,415,1.45084951141237
0.40250589350963,1,416,1.49556773934184
0.20941357287406,1,417,1.2329548097652
0.172898693301339,1,418,1.18874567108427
0.0478454177378221,1,419,1.04900848468583
0.0628705063518204,1,420,1.06488893394961
0.224705862425442,1,421,1.2519544151938
0.128913549257391,1,422,1.13759177426091
0.338280134309605,1,423,1.402533346089
0.219493835503698,1,424,1.24544617038375
0.231886648904426,1,425,1.26097678762684
-0.0242094080195695,1,426,0.976081289105304
0.172930546814117,1,427,1.18878353741277
0.284237067583117,1,428,1.32874789646963
0.133878039698348,1,429,1.1432533796147
0.0234730595610308,1,430,1.02375072008132
0.374965741795349,1,431,1.45494157007835
0.228943233638984,1,432,1.25727066630354
0.243360034771412,1,433,1.27552777580941
0.325202072068063,1,434,1.3843103481747
0.284647868873428,1,435,1.32929385995357
0.345404724534685,1,436,1.41256150228983
0.211228802916194,1,437,1.23519493893625
0.101002899699621,1,438,1.10627984963803
0.0301480673959225,1,439,1.03060712196935
0.360318433035023,1,440,1.43378590667323
0.0643251257009349,1,441,1.06643906915259
0.315558628110899,1,442,1.37102499017237
0.230160309148809,1,443,1.25880179119902
0.0812785131570048,1,444,1.08467295018953
0.264306658143869,1,445,1.30252756574847
0.284392342165046,1,446,1.32895423326276
