"metric","value"
"Post rows",170
"Post camera hours",78.7742216666667
"Post days",12
"Maximum post-collection hours",8.55199
"Correlation: clock hour versus post hours",0.913847856255508
"Collection-time minimum hour",9.95944472222222
"Collection-time maximum hour",13.7529063888889
"Collection-time standard deviation",1.10775954399669
