"term","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.60968854818862,0.515665691819959,3.12157386795984,0.00190162648399679
"splines::ns(clock_hour, df = 4)1",3.06892158137661,0.475170403950906,6.45857055881302,2.48216232295224e-10
"splines::ns(clock_hour, df = 4)2",3.07663219521245,0.479881789550845,6.41122931147708,3.31090681241531e-10
"splines::ns(clock_hour, df = 4)3",3.42682022541076,1.11064779059486,3.08542478941535,0.00214376953852944
"splines::ns(clock_hour, df = 4)4",-6.28965191004271,0.895602037238598,-7.02282001215131,7.03536894307237e-12
"collection_day",-0.205276239616685,0.257566941975924,-0.796982089556637,0.425834936995424
"post_collection_fraction",0.262094896661973,0.224997410943515,1.16487961156038,0.244616170876532
