"metric","value"
"Tweedie power",1.37791456658708
"Dispersion",29.040554095877
"Observed zero intervals",226
"Expected zero intervals",223.823293628266
"Residual lag-1 correlation",0.0351633164215549
"Maximum absolute gradient",4.40462493145333e-06
