"observation_id","collection_clock_hour"
"M(8)",9.95944472222222
"N1",10.1137405555556
"V5",10.27705
"N2",10.5975727777778
"N3",10.6220458333333
"M(2)",10.8063586111111
"V7",11.0763866666667
"M(5)",11.4264752777778
"V2",11.9378963888889
"N4",12.0890727777778
"N8",12.2870922222222
"N9",13.7529063888889
