"model","aic","effective_df","deviance_explained","delta_aic"
"No elapsed-time term",4564.03679827691,22.0035873563582,0.329832532084954,3.70988136427786
"Linear decay",4560.56089510852,22.6528011206569,0.335842769920084,0.233978195888085
"Smooth decay",4560.32691691264,22.6529054033993,0.33637201448731,0
