"contrast","clock_spline_df","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value","aic","deviance_explained"
"Postcollection vs precollection on collection days",3,0.13148090411776,0.228672617843159,1.14051612835274,0.728542590987943,1.78545091958016,0.565308602146804,4558.21953583159,0.291369863516434
"Postcollection vs precollection on collection days",4,0.262094896661973,0.224997410943515,1.29964986901195,0.83619626608902,2.01996809902397,0.24406772746431,4528.85058872743,0.333117280915753
"Postcollection vs precollection on collection days",5,0.265340521394464,0.225739586953026,1.30387489748996,0.83769522420546,2.02948482834787,0.239823721387509,4525.89297380796,0.339466724842999
"Postcollection vs precollection on collection days",6,0.287604320690004,0.226289735007969,1.33322966834775,0.855631565186782,2.07741441630269,0.203744264186957,4522.97377434538,0.345771163756342
