"window","rows","observation_days","camera_hours","foraging_hours","foraging_seconds_per_camera_hour","zero_rows"
"Non-collection",277,13,131.969152777778,10.7411413888889,293.008693214186,119
"Collection pre",94,12,40.9746533333333,2.16913583333333,190.578525130495,47
"Post 0-1 h",31,12,12.5539577777778,1.84103916666667,527.940360906105,5
"Post 1-3 h",48,12,24,3.02748888888889,454.123333333333,6
"Post 3-6 h",61,12,29.0570444444444,2.1759788888889,269.59121788788,22
"Post >6 h",30,6,13.1632194444444,0.0417816666666638,11.4268398118571,27
