"model","rows","events","zero_rows","variance_to_mean","aic","pearson_dispersion","observed_zeros","expected_zeros","post_rate_ratio","ci_low","ci_high","p_value","residual_lag1","deviance_explained","full_convergence","max_gradient","positive_hessian","theta"
"Poisson",337,138,254,1.88595583160801,505.254159538795,2.03082217448756,254,243.755317677387,1.21996314563447,0.494085218513755,3.0122537994221,0.666370713126185,-0.0201807049008235,0.209822455146067,TRUE,4.76920245517931e-08,TRUE,NA
"Negative binomial",337,138,254,1.88595583160801,507.707819097842,1.77133781496524,254,252.093065739601,1.19756685945976,0.453594163930222,3.1617831465242,0.715869722597688,-0.0188743721312146,0.186963328585391,TRUE,7.73634301953763e-07,TRUE,2.11601487553438
