"analysis","response","ratio_type","interval_rows","observation_days","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value","deviance_explained","convergence","notes"
"Recorded group size: primary","Time-weighted mean recorded group size","Mean ratio",336,25,0.219287109640212,0.0915718807199064,1.24518873105935,1.04061254092738,1.48998298115398,0.01722070473948,0.200237910538538,"full convergence","Gamma-log model; count state known for 98.1% of focal-visible time"
"Recorded group size: exclude 9+ intervals","Time-weighted mean recorded group size","Mean ratio",325,25,0.127546259120419,0.0892175402700633,1.13603741911745,0.953785088903195,1.35311511225147,0.153861407960054,0.208970251001053,"full convergence","Sensitivity excluding intervals containing the open-ended More subjects code"
"Multiple-grackle occupancy","Fraction of known time with >1 grackle","Odds ratio",336,25,0.392113638912121,0.472861154966617,1.48010589946999,0.585858377924352,3.73932260115046,0.40697070283463,0.0829126659627715,"full convergence","Exploratory beta-regression with boundary adjustment"
