"replicate","hourly_rate_ratio","immediate_rate_ratio","convergence","error"
1301,1.0030390567727,2.10854525289373,"full convergence",
1302,0.909875419124769,2.41989040512271,"full convergence",
1303,0.921696362077347,1.45265570479777,"full convergence",
1304,0.97599359737955,1.74930105100108,"full convergence",
1305,0.867097364559825,1.51743774964248,"full convergence",
1306,0.942797115460586,1.49940044590615,"full convergence",
1307,0.743357380100753,1.94425297821249,"full convergence",
1308,0.903616513787473,1.56863638677382,"full convergence",
1309,0.896178012735986,1.82767247615543,"full convergence",
1310,0.831364538888506,1.37392384505497,"full convergence",
1311,0.99606619829575,2.59161081067602,"full convergence",
1312,0.8419761587993,3.04709094839997,"full convergence",
1313,0.86647950785287,2.31450508052988,"full convergence",
1314,0.851792957755004,2.03234359425462,"full convergence",
1315,0.811175984683826,2.16521056314239,"full convergence",
1316,0.8594015291873,3.04732044645333,"full convergence",
1317,0.874514125355811,1.30387307797819,"full convergence",
1318,0.828356909045515,1.59269244324637,"full convergence",
1319,0.880648479464765,1.51347681076557,"full convergence",
1320,0.715250501654442,1.53161065828517,"full convergence",
1321,0.796233683481244,0.939485495663883,"full convergence",
1322,0.977953444707324,1.66163908563908,"full convergence",
1323,0.775880211267745,2.98127890040841,"full convergence",
1324,0.838153737655259,1.68204930624852,"full convergence",
1325,0.907420308875831,1.84838899549879,"full convergence",
1326,0.91560544645723,2.28875100774786,"full convergence",
1327,0.806978529395882,1.65459817594994,"full convergence",
1328,0.859705642882024,2.09792041261214,"full convergence",
1329,0.914643544674352,1.90132573349613,"full convergence",
1330,0.826927566448465,1.34535047982463,"full convergence",
1331,0.828109827220262,1.66570550679874,"full convergence",
1332,0.753136827879662,3.61211298234887,"full convergence",
1333,0.952679036154683,2.92989795591373,"full convergence",
1334,0.874465732936973,2.1749302019419,"full convergence",
1335,0.816058274400451,1.45279603945967,"full convergence",
1336,0.79911946233992,1.63639338222321,"full convergence",
1337,0.993565833647195,1.58806632339201,"full convergence",
1338,0.691532770760042,1.92485439819079,"full convergence",
1339,0.783404642947543,2.49417562879407,"full convergence",
1340,0.872690820743505,1.10538195140957,"full convergence",
1341,0.869444157768599,2.02606434616826,"full convergence",
1342,0.896554397335089,1.69690209057467,"full convergence",
1343,0.89489050458071,2.49005100434008,"full convergence",
1344,0.805021941930392,1.91063482915009,"full convergence",
1345,0.870964281438384,2.42990185721792,"full convergence",
1346,0.92984965429777,2.03148610168793,"full convergence",
1347,0.817154217773153,2.62726904133965,"full convergence",
1348,0.896933373636109,1.30527592944305,"full convergence",
1349,0.932728691662361,2.37005517490156,"full convergence",
1350,0.862091493994481,1.69927183801007,"full convergence",
1351,0.871988256249744,2.70329181555303,"full convergence",
1352,0.914817953443212,1.75301774226891,"full convergence",
1353,0.852473600455975,2.99258761288386,"full convergence",
1354,0.891248922466712,3.63021103060425,"full convergence",
1355,0.906993387068113,1.34410976256554,"full convergence",
1356,0.907464451083062,2.83664023923996,"full convergence",
1357,0.801800202169889,3.40266330821838,"full convergence",
1358,0.822065466719938,2.10326093377212,"full convergence",
1359,0.731916460201202,1.94754994239683,"full convergence",
1360,0.826474402974979,3.70062772072231,"full convergence",
1361,0.671903606166597,1.59641881406682,"full convergence",
1362,0.856238695975497,1.94574060632621,"full convergence",
1363,0.813971032205378,2.01109345402829,"full convergence",
1364,0.818653260309016,1.86621949580095,"full convergence",
1365,0.865237860820009,1.69028251212743,"full convergence",
1366,0.775277384183194,1.80255719032167,"full convergence",
1367,0.950499556553915,2.97034812811296,"full convergence",
1368,0.965379199456458,2.13045065704865,"full convergence",
1369,0.809448792169219,1.86388849583143,"full convergence",
1370,0.800138231193864,1.69280660262074,"full convergence",
1371,0.849439596165562,1.77455532238368,"full convergence",
1372,0.842968710745113,1.55236633345839,"full convergence",
1373,0.961432854083605,0.985832739411594,"full convergence",
1374,0.891621781118582,1.98108634902359,"full convergence",
1375,0.947752378283909,1.80266182588185,"full convergence",
1376,0.797955294772616,3.20668835210034,"full convergence",
1377,0.896023796865522,1.95675712228718,"full convergence",
1378,0.957063525910795,2.33431490771157,"full convergence",
1379,0.919619140605803,1.11851977246567,"full convergence",
1380,0.879960177713179,1.79503375036777,"full convergence",
1381,0.92961629310721,2.1955050971652,"full convergence",
1382,0.792902090444403,1.37451336249207,"full convergence",
1383,0.734028703003336,1.98858942624237,"full convergence",
1384,0.856745590441449,1.71134124454871,"full convergence",
1385,0.930572529464828,1.51005757854797,"full convergence",
1386,0.772685058835345,1.25144395016261,"full convergence",
1387,0.964131966344004,1.19509299975545,"full convergence",
1388,0.779289871443149,2.20560076506141,"full convergence",
1389,0.794603001911527,1.83146606905136,"full convergence",
1390,0.86440216716515,2.51619286117005,"full convergence",
1391,0.889104563815399,1.57451145934533,"full convergence",
1392,0.832670683590476,2.28113628691474,"full convergence",
1393,0.845203361548027,1.913278928338,"full convergence",
1394,0.810948518136263,1.29026097812897,"full convergence",
1395,0.815038135494536,1.18259036070643,"full convergence",
1396,0.947942347631249,2.03946379924271,"full convergence",
1397,0.828309623631194,2.13272855685268,"full convergence",
1398,0.905816483566165,2.2851925406286,"full convergence",
1399,0.799339998744392,3.08636286094401,"full convergence",
1400,0.87180612941019,2.49073342972928,"full convergence",
