"analysis","response","ratio_type","interval_rows","observation_days","estimate_log","standard_error","effect_ratio","ci_low","ci_high","p_value","deviance_explained","convergence","notes"
"Raw at-site attendance sensitivity","Raw at-site duration","Rate ratio",529,25,0.26680338611485,0.215475239420495,1.3057836858865,0.855969681129024,1.99197596821227,0.216212670816411,0.361391457287729,"full convergence","Uses only original At the observation site states"
"Raw at-site intensity sensitivity","Foraging duration within raw at-site states","Rate ratio",335,25,0.0106318600410117,0.132919593707479,1.01068857909645,0.778889761108141,1.31147108990455,0.93629679468491,0.0409597284165951,"full convergence","Foraging and exposure both restricted to original At the observation site states"
