"hours_after_collection","estimate_log","standard_error","effect_ratio","ci_low","ci_high"
0,0.659867350298888,0.242158075049835,1.93453570179866,1.20351476269653,3.10958244762077
0.5,0.583193194139154,0.229214907669532,1.79175071355967,1.14332448154083,2.80792607118416
1,0.506519037979419,0.219737186130834,1.65950445709362,1.07879218392314,2.55281330746998
3,0.199822413340481,0.222989739894058,1.22118587258298,0.788810278067765,1.89056225160919
6,-0.260222523617927,0.327513218559241,0.770880027703658,0.405701895562584,1.46476026760571
