"analysis","post_first","post_second","pre_first","pre_second","odds_ratio","ci_low","ci_high","p_value","interpretation"
"Direction among directed events: post versus pre",10,15,1,5,3.22207637535298,0.292496439192406,172.990989904251,0.382606640671157,"Odds that a directed event was focal-to-others rather than others-to-focal"
"Direction coding completeness: post versus pre",25,25,6,3,0.505778064439066,0.0736178416641229,2.68997197411858,0.477042826562292,"Odds that a displacement event had a recorded direction"
