observation_id,observation_date,weekday,observer,collection_day,bin_number,clock_hour,camera_seconds,post_collection_camera_seconds,post_collection_fraction,hours_from_collection_midpoint,collection_phase,foraging_seconds,foraging_bouts,focal_visible_seconds,displacement_events,displacement_focal_to_others,displacement_others_to_focal,displacement_unspecified,any_foraging,full_bin,ar_start,exclude_n3
N2,2017-10-23,Monday,Observer 2,1,1,7.733333333333333,1920.0,0.0,0.0,-2.864239444444445,Pre-collection,0.0,0,0.0,0,0,0,0,0,0,1,1
N2,2017-10-23,Monday,Observer 2,1,2,8.5,3600.0,0.0,0.0,-2.0975727777777777,Pre-collection,40.06800000000021,2,113.21399999999903,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,3,9.5,3600.0,0.0,0.0,-1.097572777777778,Pre-collection,243.23700000000008,14,324.59000000000196,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,4,10.5,3600.0,1448.7379999999994,0.40242722222222205,-0.09757277777777795,Straddles collection end,749.1899999999987,31,861.3279999999995,1,0,0,1,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,5,11.5,3600.0,3600.0,1.0,0.902427222222222,Post-collection,517.5039999999972,16,1574.520999999997,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,6,12.5,3600.0,3600.0,1.0,1.902427222222222,Post-collection,645.3340000000026,12,893.3780000000042,1,0,0,1,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,7,13.5,3600.0,3600.0,1.0,2.9024272222222223,Post-collection,981.564000000013,23,2141.4709999999977,6,0,0,6,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,8,14.267152777777778,1923.5,1923.5,1.0,3.66958,Post-collection,0.0,0,0.0,0,0,0,0,0,0,0,1
N3,2017-10-25,Wednesday,Observer 2,1,1,10.783333333333333,1560.0,1360.635,0.8722019230769231,0.1612875,Straddles collection end,619.8840000000002,12,740.142,3,0,0,3,1,0,1,0
N3,2017-10-25,Wednesday,Observer 2,1,2,11.5,3600.0,3600.0,1.0,0.8779541666666667,Post-collection,472.3309999999999,15,845.6039999999994,0,0,0,0,1,1,0,0
N3,2017-10-25,Wednesday,Observer 2,1,3,12.5,3600.0,3600.0,1.0,1.8779541666666668,Post-collection,697.398000000002,18,2123.641999999999,5,0,0,5,1,1,0,0
N3,2017-10-25,Wednesday,Observer 2,1,4,13.5,3600.0,3600.0,1.0,2.8779541666666666,Post-collection,841.7940000000017,18,1791.2919999999958,2,0,0,2,1,1,0,0
N3,2017-10-25,Wednesday,Observer 2,1,5,14.272986111111111,1965.5,1965.5,1.0,3.650940277777778,Post-collection,159.6720000000023,5,174.27700000000004,0,0,0,0,1,0,0,0
V2,2017-11-29,Wednesday,Observer 3,1,1,8.858333333333333,1020.0,0.0,0.0,-3.0795630555555564,Pre-collection,49.89999999999782,2,68.86299999999756,0,0,0,0,1,0,1,1
