observation_id,observation_date,weekday,observer,collection_day,post_collection,bin_number,segment_number,clock_hour,camera_clock_hour,hours_from_collection_midpoint,post_collection_hours,segment_seconds,focal_visible_seconds,foraging_seconds,displacement_events,displacement_focal_to_others,displacement_others_to_focal,displacement_unspecified,visible_displacement_events,visible_displacement_focal_to_others,visible_displacement_others_to_focal,visible_displacement_unspecified,foraging_displacement_events,exclude_n3
N2,2017-10-23,Monday,Observer 2,1,0,1,1,7.483333333333333,7.483333333333333,-3.114239444444445,0.0,120.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,2,1,7.625,7.625,-2.9725727777777777,0.0,900.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,3,1,7.875,7.875,-2.7225727777777777,0.0,900.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,4,1,8.125,8.125,-2.4725727777777777,0.0,900.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,5,1,8.375,8.375,-2.2225727777777777,0.0,900.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,6,1,8.625,8.625,-1.972572777777778,0.0,900.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,7,1,8.7827280419898,8.875,-1.722572777777778,0.0,900.0,113.21399999999903,40.06800000000021,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,8,1,9.125,9.125,-1.472572777777778,0.0,900.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,9,1,9.375,9.375,-1.222572777777778,0.0,900.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,10,1,9.608479789074252,9.625,-0.972572777777778,0.0,900.0,88.26500000000124,75.53899999999976,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,11,1,9.952059909692984,9.875,-0.722572777777778,0.0,900.0,236.32500000000073,167.69800000000032,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,12,1,10.089520952813753,10.125,-0.47257277777777795,0.0,900.0,240.35899999999856,217.86599999999635,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,0,13,1,10.377469452042549,10.375,-0.22257277777777795,0.0,900.0,246.11399999999958,184.84399999999914,1,0,0,1,1,0,0,1,1,1
N2,2017-10-23,Monday,Observer 2,1,0,14,1,10.548786388888889,10.548786388888889,-0.048786388888888726,0.0,351.2620000000006,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,1,14,2,10.673786388888889,10.673786388888889,0.07621361111111127,0.07621361111111127,548.7379999999994,0.0,0.0,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,1,15,1,10.929081446106938,10.875,0.27742722222222205,0.27742722222222205,900.0,374.8550000000014,346.4800000000032,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,1,16,1,11.123264600417487,11.125,0.527427222222222,0.527427222222222,900.0,837.8459999999977,214.02899999999863,0,0,0,0,0,0,0,0,0,1
N2,2017-10-23,Monday,Observer 2,1,1,17,1,11.30060991404476,11.375,0.777427222222222,0.777427222222222,900.0,126.6890000000003,14.406999999999243,0,0,0,0,0,0,0,0,0,1
