observation_id,observation_date,weekday,observer,collection_day,bin_number,clock_hour,camera_seconds,post_collection_camera_seconds,post_collection_fraction,hours_from_collection_midpoint,collection_phase,foraging_seconds,foraging_bouts,focal_visible_seconds,displacement_events,displacement_focal_to_others,displacement_others_to_focal,displacement_unspecified,any_foraging,full_bin,ar_start,exclude_n3
N2,2017-10-23,Monday,Observer 2,1,1,7.483333333333333,120.0,0.0,0.0,-3.114239444444445,Pre-collection,0.0,0,0.0,0,0,0,0,0,0,1,1
N2,2017-10-23,Monday,Observer 2,1,2,7.625000000000001,900.0,0.0,0.0,-2.9725727777777777,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,3,7.875000000000001,900.0,0.0,0.0,-2.7225727777777777,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,4,8.125,900.0,0.0,0.0,-2.4725727777777777,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,5,8.375,900.0,0.0,0.0,-2.2225727777777777,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,6,8.625,900.0,0.0,0.0,-1.972572777777778,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,7,8.875,900.0,0.0,0.0,-1.722572777777778,Pre-collection,40.06800000000021,2,113.21399999999903,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,8,9.125,900.0,0.0,0.0,-1.472572777777778,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,9,9.375,900.0,0.0,0.0,-1.222572777777778,Pre-collection,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,10,9.625,900.0,0.0,0.0,-0.972572777777778,Pre-collection,75.53899999999976,7,88.26500000000124,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,11,9.875,900.0,0.0,0.0,-0.722572777777778,Pre-collection,167.69800000000032,7,236.32500000000073,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,12,10.125,900.0,0.0,0.0,-0.47257277777777795,Pre-collection,217.86599999999635,9,240.35899999999856,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,13,10.375,900.0,0.0,0.0,-0.22257277777777795,Pre-collection,184.84399999999914,10,246.11399999999958,1,0,0,1,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,14,10.625,900.0,548.7379999999994,0.6097088888888882,0.027427222222222047,Straddles collection end,0.0,0,0.0,0,0,0,0,0,1,0,1
N2,2017-10-23,Monday,Observer 2,1,15,10.875,900.0,900.0,1.0,0.27742722222222205,Post-collection,346.4800000000032,12,374.8550000000014,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,16,11.125,900.0,900.0,1.0,0.527427222222222,Post-collection,214.02899999999863,8,837.8459999999977,0,0,0,0,1,1,0,1
N2,2017-10-23,Monday,Observer 2,1,17,11.375,900.0,900.0,1.0,0.777427222222222,Post-collection,14.406999999999243,1,126.6890000000003,0,0,0,0,1,1,0,1
